,Abstract,Title,Generated Title
10,"Representation learning and unsupervised learning are two central topics of
machine learning and signal processing. Deep learning is one of the most
effective unsupervised representation learning approach. The main contributions
of this paper to the topics are as follows. (i) We propose to view the
representative deep learning approaches as special cases of the knowledge reuse
framework of clustering ensemble. (ii) We propose to view sparse coding when
used as a feature encoder as the consensus function of clustering ensemble, and
view dictionary learning as the training process of the base clusterings of
clustering ensemble. (ii) Based on the above two views, we propose a very
simple deep learning algorithm, named deep random model ensemble (DRME). It is
a stack of random model ensembles. Each random model ensemble is a special
k-means ensemble that discards the expectation-maximization optimization of
each base k-means but only preserves the default initialization method of the
base k-means. (iv) We propose to select the most powerful representation among
the layers by applying DRME to clustering where the single-linkage is used as
the clustering algorithm. Moreover, the DRME based clustering can also detect
the number of the natural clusters accurately. Extensive experimental
comparisons with 5 representation learning methods on 19 benchmark data sets
demonstrate the effectiveness of DRME.",Simple Deep Random Model Ensemble,despite <unk> two show similarities without
11,"The main prospective aim of modern research related to Artificial
Intelligence is the creation of technical systems that implement the idea of
Strong Intelligence. According our point of view the path to the development of
such systems comes through the research in the field related to perceptions.
Here we formulate the model of the perception of external world which may be
used for the description of perceptual activity of intelligent beings. We
consider a number of issues related to the development of the set of patterns
which will be used by the intelligent system when interacting with environment.
The key idea of the presented perception model is the idea of subjective
reality. The principle of the relativity of perceived world is formulated. It
is shown that this principle is the immediate consequence of the idea of
subjective reality. In this paper we show how the methodology of subjective
reality may be used for the creation of different types of Strong AI systems.",Subjective Reality and Strong Artificial Intelligence,using <unk>
12,"Automatic detection of pulmonary nodules in thoracic computed tomography (CT)
scans has been an active area of research for the last two decades. However,
there have only been few studies that provide a comparative performance
evaluation of different systems on a common database. We have therefore set up
the LUNA16 challenge, an objective evaluation framework for automatic nodule
detection algorithms using the largest publicly available reference database of
chest CT scans, the LIDC-IDRI data set. In LUNA16, participants develop their
algorithm and upload their predictions on 888 CT scans in one of the two
tracks: 1) the complete nodule detection track where a complete CAD system
should be developed, or 2) the false positive reduction track where a provided
set of nodule candidates should be classified. This paper describes the setup
of LUNA16 and presents the results of the challenge so far. Moreover, the
impact of combining individual systems on the detection performance was also
investigated. It was observed that the leading solutions employed convolutional
networks and used the provided set of nodule candidates. The combination of
these solutions achieved an excellent sensitivity of over 95% at fewer than 1.0
false positives per scan. This highlights the potential of combining algorithms
to improve the detection performance. Our observer study with four expert
readers has shown that the best system detects nodules that were missed by
expert readers who originally annotated the LIDC-IDRI data. We released this
set of additional nodules for further development of CAD systems.","Validation, comparison, and combination of algorithms for automatic
  detection of pulmonary nodules in computed tomography images: the LUNA16
  challenge",concepts method predictive <unk>
13,"The rigorous theoretical analyses of algorithms for exact 3-satisfiability
(X3SAT) have been proposed in the literature. As we know, previous algorithms
for solving X3SAT have been analyzed only regarding the number of variables as
the parameter. However, the time complexity for solving X3SAT instances depends
not only on the number of variables, but also on the number of clauses.
Therefore, it is significant to exploit the time complexity from the other
point of view, i.e. the number of clauses. In this paper, we present algorithms
for solving X3SAT with rigorous complexity analyses using the number of clauses
as the parameter. By analyzing the algorithms, we obtain the new worst-case
upper bounds O(1.15855m), where m is the number of clauses.",New Worst-Case Upper Bound for X3SAT,technique physical
14,"This paper challenges a cross-genre document retrieval task, where the
queries are in formal writing and the target documents are in conversational
writing. In this task, a query, is a sentence extracted from either a summary
or a plot of an episode in a TV show, and the target document consists of
transcripts from the corresponding episode. To establish a strong baseline, we
employ the current state-of-the-art search engine to perform document retrieval
on the dataset collected for this work. We then introduce a structure reranking
approach to improve the initial ranking by utilizing syntactic and semantic
structures generated by NLP tools. Our evaluation shows an improvement of more
than 4% when the structure reranking is applied, which is very promising.","Cross-genre Document Retrieval: Matching between Conversational and
  Formal Writings",method learning fixed model review networks
15,"Video classification is productive in many practical applications, and the
recent deep learning has greatly improved its accuracy. However, existing works
often model video frames indiscriminately, but from the view of motion, video
frames can be decomposed into salient and non-salient areas naturally. Salient
and non-salient areas should be modeled with different networks, for the former
present both appearance and motion information, and the latter present static
background information. To address this problem, in this paper, video saliency
is predicted by optical flow without supervision firstly. Then two streams of
3D CNN are trained individually for raw frames and optical flow on salient
areas, and another 2D CNN is trained for raw frames on non-salient areas. For
the reason that these three streams play different roles for each class, the
weights of each stream are adaptively learned for each class. Experimental
results show that saliency-guided modeling and adaptively weighted learning can
reinforce each other, and we achieve the state-of-the-art results.",Saliency-guided video classification via adaptively weighted learning,learning increase model model <unk> knowledge different unlabeled
16,"We present a new image inpainting algorithm, the Averaging and Hypoelliptic
Evolution (AHE) algorithm, inspired by the one presented in [SIAM J. Imaging
Sci., vol. 7, no. 2, pp. 669--695, 2014] and based upon a semi-discrete
variation of the Citti-Petitot-Sarti model of the primary visual cortex V1. The
AHE algorithm is based on a suitable combination of sub-Riemannian hypoelliptic
diffusion and ad-hoc local averaging techniques. In particular, we focus on
reconstructing highly corrupted images (i.e. where more than the 80% of the
image is missing), for which we obtain reconstructions comparable with the
state-of-the-art.",Highly corrupted image inpainting through hypoelliptic diffusion,scale scale scale scale
17,"We derive high-probability finite-sample uniform rates of consistency for
$k$-NN regression that are optimal up to logarithmic factors under mild
assumptions. We moreover show that $k$-NN regression adapts to an unknown lower
intrinsic dimension automatically. We then apply the $k$-NN regression rates to
establish new results about estimating the level sets and global maxima of a
function from noisy observations.",Rates of Uniform Consistency for k-NN Regression,models model categorization data  method applicable texture
18,"A new image denoising algorithm to deal with the Poisson noise model is
given, which is based on the idea of Non-Local Mean. By using the ""Oracle""
concept, we establish a theorem to show that the Non-Local Means Filter can
effectively deal with Poisson noise with some modification. Under the
theoretical result, we construct our new algorithm called Non-Local Means
Poisson Filter and demonstrate in theory that the filter converges at the usual
optimal rate. The filter is as simple as the classic Non-Local Means and the
simulation results show that our filter is very competitive.",A Non-Local Means Filter for Removing the Poisson Noise,video step size noise critical state of the art
19,"At the core of interpretable machine learning is the question of whether
humans are able to make accurate predictions about a model's behavior. Assumed
in this question are three properties of the interpretable output: coverage,
precision, and effort. Coverage refers to how often humans think they can
predict the model's behavior, precision to how accurate humans are in those
predictions, and effort is either the up-front effort required in interpreting
the model, or the effort required to make predictions about a model's behavior.
  In this work, we propose anchor-LIME (aLIME), a model-agnostic technique that
produces high-precision rule-based explanations for which the coverage
boundaries are very clear. We compare aLIME to linear LIME with simulated
experiments, and demonstrate the flexibility of aLIME with qualitative examples
from a variety of domains and tasks.","Nothing Else Matters: Model-Agnostic Explanations By Identifying
  Prediction Invariance",techniques <unk> gan method  using method  diffusion method
20,"Decomposition methods have been proposed in the past to approximate solutions
to large sequential decision making problems. In contexts where an agent
interacts with multiple entities, utility decomposition can be used where each
individual entity is considered independently. The individual utility functions
are then combined in real time to solve the global problem. Although these
techniques can perform well empirically, they sacrifice optimality. This paper
proposes an approach inspired from multi-fidelity optimization to learn a
correction term with a neural network representation. Learning this correction
can significantly improve performance. We demonstrate this approach on a
pedestrian avoidance problem for autonomous driving. By leveraging strategies
to avoid a single pedestrian, the decomposition method can scale to avoid
multiple pedestrians. We verify empirically that the proposed correction method
leads to a significant improvement over the decomposition method alone and
outperforms a policy trained on the full scale problem without utility
decomposition.","Utility Decomposition with Deep Corrections for Scalable Planning under
  Uncertainty",improve model show concepts #### 
21,"Building machines that learn and think like humans is essential not only for
cognitive science, but also for computational neuroscience, whose ultimate goal
is to understand how cognition is implemented in biological brains. A new
cognitive computational neuroscience should build cognitive-level and neural-
level models, understand their relationships, and test both types of models
with both brain and behavioral data.",Building machines that adapt and compute like brains,simultaneously streaming problem sensitivity rate 
22,"We present an efficient learning algorithm for the problem of training neural
networks with discrete synapses, a well-known hard (NP-complete) discrete
optimization problem. The algorithm is a variant of the so-called Max-Sum (MS)
algorithm. In particular, we show how, for bounded integer weights with $q$
distinct states and independent concave a priori distribution (e.g. $l_{1}$
regularization), the algorithm's time complexity can be made to scale as
$O\left(N\log N\right)$ per node update, thus putting it on par with
alternative schemes, such as Belief Propagation (BP), without resorting to
approximations. Two special cases are of particular interest: binary synapses
$W\in\{-1,1\}$ and ternary synapses $W\in\{-1,0,1\}$ with $l_{0}$
regularization. The algorithm we present performs as well as BP on binary
perceptron learning problems, and may be better suited to address the problem
on fully-connected two-layer networks, since inherent symmetries in two layer
networks are naturally broken using the MS approach.",A Max-Sum algorithm for training discrete neural networks,word for show significant kernel
23,"Ontologies usually suffer from the semantic heterogeneity when simultaneously
used in information sharing, merging, integrating and querying processes.
Therefore, the similarity identification between ontologies being used becomes
a mandatory task for all these processes to handle the problem of semantic
heterogeneity. In this paper, we propose an efficient technique for similarity
measurement between two ontologies. The proposed technique identifies all
candidate pairs of similar concepts without omitting any similar pair. The
proposed technique can be used in different types of operations on ontologies
such as merging, mapping and aligning. By analyzing its results a reasonable
improvement in terms of completeness, correctness and overall quality of the
results has been found.",An Efficient Technique for Similarity Identification between Ontologies,level present scene use show unlabeled improve models
24,"Transfer learning has revolutionized computer vision, but existing approaches
in NLP still require task-specific modifications and training from scratch. We
propose Fine-tuned Language Models (FitLaM), an effective transfer learning
method that can be applied to any task in NLP, and introduce techniques that
are key for fine-tuning a state-of-the-art language model. Our method
significantly outperforms the state-of-the-art on five text classification
tasks, reducing the error by 18-24% on the majority of datasets. We open-source
our pretrained models and code to enable adoption by the community.",Fine-tuned Language Models for Text Classification,new rank pedestrian
25,"GANs excel at learning high dimensional distributions, but they can update
generator parameters in directions that do not correspond to the steepest
descent direction of the objective. Prominent examples of problematic update
directions include those used in both Goodfellow's original GAN and the
WGAN-GP. To formally describe an optimal update direction, we introduce a
theoretical framework which allows the derivation of requirements on both the
divergence and corresponding method for determining an update direction. These
requirements guarantee unbiased mini-batch updates in the direction of steepest
descent. We propose a novel divergence which approximates the Wasserstein
distance while regularizing the critic's first order information. Together with
an accompanying update direction, this divergence fulfills the requirements for
unbiased steepest descent updates. We verify our method, the First Order GAN,
with CelebA image generation and set a new state of the art on the One Billion
Word language generation task.",First Order Generative Adversarial Networks,similarity show data need models
26,"In this paper, we consider active information acquisition when the prediction
model is meant to be applied on a targeted subset of the population. The goal
is to label a pre-specified fraction of customers in the target or test set by
iteratively querying for information from the non-target or training set. The
number of queries is limited by an overall budget. Arising in the context of
two rather disparate applications- banking and medical diagnosis, we pose the
active information acquisition problem as a constrained optimization problem.
We propose two greedy iterative algorithms for solving the above problem. We
conduct experiments with synthetic data and compare results of our proposed
algorithms with few other baseline approaches. The experimental results show
that our proposed approaches perform better than the baseline schemes.","Test Set Selection using Active Information Acquisition for Predictive
  Models",based graph feature models number
27,"Providing security for webservers against unwanted and automated
registrations has become a big concern. To prevent these kinds of false
registrations many websites use CAPTCHAs. Among all kinds of CAPTCHAs OCR-Based
or visual CAPTCHAs are very common. Actually visual CAPTCHA is an image
containing a sequence of characters. So far most of visual CAPTCHAs, in order
to resist against OCR programs, use some common implementations such as
wrapping the characters, random placement and rotations of characters, etc. In
this paper we applied Gaussian Blur filter, which is an image transformation,
to visual CAPTCHAs to reduce their readability by OCR programs. We concluded
that this technique made CAPTCHAs almost unreadable for OCR programs but, their
readability by human users still remained high.",Improve CAPTCHA's Security Using Gaussian Blur Filter,evaluation similarly show online
28,"This paper investigates energy efficiency for two-tier femtocell networks
through combining game theory and stochastic learning. With the Stackelberg
game formulation, a hierarchical reinforcement learning framework is applied to
study the joint average utility maximization of macrocells and femtocells
subject to the minimum signal-to-interference-plus-noise-ratio requirements.
The macrocells behave as the leaders and the femtocells are followers during
the learning procedure. At each time step, the leaders commit to dynamic
strategies based on the best responses of the followers, while the followers
compete against each other with no further information but the leaders'
strategy information. In this paper, we propose two learning algorithms to
schedule each cell's stochastic power levels, leading by the macrocells.
Numerical experiments are presented to validate the proposed studies and show
that the two learning algorithms substantially improve the energy efficiency of
the femtocell networks.","Improving Energy Efficiency in Femtocell Networks: A Hierarchical
  Reinforcement Learning Framework",models domain 
29,"Neural spikes in the brain form stochastic sequences, i.e., belong to the
class of pulse noises. This stochasticity is a counterintuitive feature because
extracting information - such as the commonly supposed neural information of
mean spike frequency - requires long times for reasonably low error
probability. The mystery could be solved by noise-based logic, wherein
randomness has an important function and allows large speed enhancements for
special-purpose tasks, and the same mechanism is at work for the brain logic
version of this concept.",Brain: Biological noise-based logic,model mostly obtaining common problem contrast imagery 
30,"We present weight normalization: a reparameterization of the weight vectors
in a neural network that decouples the length of those weight vectors from
their direction. By reparameterizing the weights in this way we improve the
conditioning of the optimization problem and we speed up convergence of
stochastic gradient descent. Our reparameterization is inspired by batch
normalization but does not introduce any dependencies between the examples in a
minibatch. This means that our method can also be applied successfully to
recurrent models such as LSTMs and to noise-sensitive applications such as deep
reinforcement learning or generative models, for which batch normalization is
less well suited. Although our method is much simpler, it still provides much
of the speed-up of full batch normalization. In addition, the computational
overhead of our method is lower, permitting more optimization steps to be taken
in the same amount of time. We demonstrate the usefulness of our method on
applications in supervised image recognition, generative modelling, and deep
reinforcement learning.","Weight Normalization: A Simple Reparameterization to Accelerate Training
  of Deep Neural Networks",based function  improvements  method <unk> different
31,"Multi-label classification has attracted an increasing amount of attention in
recent years. To this end, many algorithms have been developed to classify
multi-label data in an effective manner. However, they usually do not consider
the pairwise relations indicated by sample labels, which actually play
important roles in multi-label classification. Inspired by this, we naturally
extend the traditional pairwise constraints to the multi-label scenario via a
flexible thresholding scheme. Moreover, to improve the generalization ability
of the classifier, we adopt a boosting-like strategy to construct a multi-label
ensemble from a group of base classifiers. To achieve these goals, this paper
presents a novel multi-label classification framework named Variable Pairwise
Constraint projection for Multi-label Ensemble (VPCME). Specifically, we take
advantage of the variable pairwise constraint projection to learn a
lower-dimensional data representation, which preserves the correlations between
samples and labels. Thereafter, the base classifiers are trained in the new
data space. For the boosting-like strategy, we employ both the variable
pairwise constraints and the bootstrap steps to diversify the base classifiers.
Empirical studies have shown the superiority of the proposed method in
comparison with other approaches.",Multi-label ensemble based on variable pairwise constraint projection,model review inference on size data predictive settings 
32,"In this work, we describe a system that detects paraphrases in Indian
Languages as part of our participation in the shared Task on detecting
paraphrases in Indian Languages (DPIL) organized by Forum for Information
Retrieval Evaluation (FIRE) in 2016. Our paraphrase detection method uses a
multinomial logistic regression model trained with a variety of features which
are basically lexical and semantic level similarities between two sentences in
a pair. The performance of the system has been evaluated against the test set
released for the FIRE 2016 shared task on DPIL. Our system achieves the highest
f-measure of 0.95 on task1 in Punjabi language.The performance of our system on
task1 in Hindi language is f-measure of 0.90. Out of 11 teams participated in
the shared task, only four teams participated in all four languages, Hindi,
Punjabi, Malayalam and Tamil, but the remaining 7 teams participated in one of
the four languages. We also participated in task1 and task2 both for all four
Indian Languages. The overall average performance of our system including task1
and task2 overall four languages is F1-score of 0.81 which is the second
highest score among the four systems that participated in all four languages.","KS_JU@DPIL-FIRE2016:Detecting Paraphrases in Indian Languages Using
  Multinomial Logistic Regression Model",accurate paper  for
33,"In this paper a deterministic preprocessing algorithm is presented, whose
output can be given as input to most state-of-the-art epipolar geometry
estimation algorithms, improving their results considerably. They are now able
to succeed on hard cases for which they failed before. The algorithm consists
of three steps, whose scope changes from local to global. In the local step it
extracts from a pair of images local features (e.g. SIFT). Similar features
from each image are clustered and the clusters are matched yielding a large
number of putative matches. In the second step pairs of spatially close
features (called 2keypoints) are matched and ranked by a classifier. The
2keypoint matches with the highest ranks are selected. In the global step, from
each two 2keypoint matches a fundamental matrix is computed. As quite a few of
the matrices are generated from correct matches they are used to rank the
putative matches found in the first step. For each match the number of
fundamental matrices, for which it approximately satisfies the epipolar
constraint, is calculated. This set of matches is combined with the putative
matches generated by standard methods and their probabilities to be correct are
estimated by a classifier. These are then given as input to state-of-the-art
epipolar geometry estimation algorithms such as BEEM, BLOGS and USAC yielding
much better results than the original algorithms. This was shown in extensive
testing performed on almost 900 image pairs from six publicly available
data-sets.","A General Preprocessing Method for Improved Performance of Epipolar
  Geometry Estimation Algorithms",model learning <unk> model digitization require often
34,"In this work, we present the results of a systematic study to investigate the
(commercial) benefits of automatic text summarization systems in a real world
scenario. More specifically, we define a use case in the context of media
monitoring and media response analysis and claim that even using a simple
query-based extractive approach can dramatically save the processing time of
the employees without significantly reducing the quality of their work.","On (Commercial) Benefits of Automatic Text Summarization Systems in the
  News Domain: A Case of Media Monitoring and Media Response Analysis",two show <unk> <unk>
35,"In this paper the elicitation of probabilities from human experts is
considered as a measurement process, which may be disturbed by random
'measurement noise'. Using Bayesian concepts a second order probability
distribution is derived reflecting the uncertainty of the input probabilities.
The algorithm is based on an approximate sample representation of the basic
probabilities. This sample is continuously modified by a stochastic simulation
procedure, the Metropolis algorithm, such that the sequence of successive
samples corresponds to the desired posterior distribution. The procedure is
able to combine inconsistent probabilities according to their reliability and
is applicable to general inference networks with arbitrary structure.
Dempster-Shafer probability mass functions may be included using specific
measurement distributions. The properties of the approach are demonstrated by
numerical experiments.",Second Order Probabilities for Uncertain and Conflicting Evidence,data <unk> show hardness multi agent various derive
36,"In a knowledge discovery process, interpretation and evaluation of the mined
results are indispensable in practice. In the case of data clustering, however,
it is often difficult to see in what aspect each cluster has been formed. This
paper proposes a method for automatic and objective characterization or
""verbalization"" of the clusters obtained by mixture models, in which we collect
conjunctions of propositions (attribute-value pairs) that help us interpret or
evaluate the clusters. The proposed method provides us with a new, in-depth and
consistent tool for cluster interpretation/evaluation, and works for various
types of datasets including continuous attributes and missing values.
Experimental results with a couple of standard datasets exhibit the utility of
the proposed method, and the importance of the feedbacks from the
interpretation/evaluation step.","Verbal Characterization of Probabilistic Clusters using Minimal
  Discriminative Propositions",effectively method greedy connection stochastic
37,"Retinal vessel information is helpful in retinal disease screening and
diagnosis. Retinal vessel segmentation provides useful information about
vessels and can be used by physicians during intraocular surgery and retinal
diagnostic operations. Convolutional neural networks (CNNs) are powerful tools
for classification and segmentation of medical images. Complexity of CNNs makes
it difficult to implement them in portable devices such as binocular indirect
ophthalmoscopes. In this paper a simplification approach is proposed for CNNs
based on combination of quantization and pruning. Fully connected layers are
quantized and convolutional layers are pruned to have a simple and efficient
network structure. Experiments on images of the STARE dataset show that our
simplified network is able to segment retinal vessels with acceptable accuracy
and low complexity.","Low complexity convolutional neural network for vessel segmentation in
  portable retinal diagnostic devices",learning model model <unk> users estimate
38,"Understanding how users navigate in a network is of high interest in many
applications. We consider a setting where only aggregate node-level traffic is
observed and tackle the task of learning edge transition probabilities. We cast
it as a preference learning problem, and we study a model where choices follow
Luce's axiom. In this case, the $O(n)$ marginal counts of node visits are a
sufficient statistic for the $O(n^2)$ transition probabilities. We show how to
make the inference problem well-posed regardless of the network's structure,
and we present ChoiceRank, an iterative algorithm that scales to networks that
contains billions of nodes and edges. We apply the model to two clickstream
datasets and show that it successfully recovers the transition probabilities
using only the network structure and marginal (node-level) traffic data.
Finally, we also consider an application to mobility networks and apply the
model to one year of rides on New York City's bicycle-sharing system.",ChoiceRank: Identifying Preferences from Node Traffic in Networks,learning regression  may flow using specifically automated
39,"Text processing is one of the sub-branches of natural language processing.
Recently, the use of machine learning and neural networks methods has been
given greater consideration. For this reason, the representation of words has
become very important. This article is about word representation or converting
words into vectors in Persian text. In this research GloVe, CBOW and skip-gram
methods are updated to produce embedded vectors for Persian words. In order to
train a neural networks, Bijankhan corpus, Hamshahri corpus and UPEC corpus
have been compound and used. Finally, we have 342,362 words that obtained
vectors in all three models for this words. These vectors have many usage for
Persian natural language processing.",word representation or word embedding in Persian text,offers <unk> model <unk>
40,"Sparse decomposition has been widely used for different applications, such as
source separation, image classification and image denoising. This paper
presents a new algorithm for segmentation of an image into background and
foreground text and graphics using sparse decomposition. First, the background
is represented using a suitable smooth model, which is a linear combination of
a few smoothly varying basis functions, and the foreground text and graphics
are modeled as a sparse component overlaid on the smooth background. Then the
background and foreground are separated using a sparse decomposition framework
and imposing some prior information, which promote the smoothness of
background, and the sparsity and connectivity of foreground pixels. This
algorithm has been tested on a dataset of images extracted from HEVC standard
test sequences for screen content coding, and is shown to outperform prior
methods, including least absolute deviation fitting, k-means clustering based
segmentation in DjVu, and shape primitive extraction and coding algorithm.",Image Segmentation Using Overlapping Group Sparsity,based engineering equipped method
41,"This paper reviews Kunchenko's polynomials using as template matching method
to recognize template in one-dimensional input signal. Kunchenko's polynomials
method is compared with classical methods - cross-correlation and sum of
squared differences according to numerical statistical example.",Kunchenko's Polynomials for Template Matching, alm  high field feedforward method learning
